COVID-19 People Fully Vaccinated from 22/Jan/2020 to 21/Sep/2023 
People received vaccine (count)
Source: Our World in Data - https://ourworldindata.org/covid-deaths

1
2021-01-04,Slovenia,dummy,1.0,Europe
2021-01-04,United States,dummy,107970.0,North America

13
2021-01-05,Argentina,dummy,18.0,South America
2021-01-05,Belgium,dummy,81.0,Europe
2021-01-05,Canada,dummy,6.0,North America
2021-01-05,Czechia,dummy,4.0,Europe
2021-01-05,Estonia,dummy,188.0,Europe
2021-01-05,France,dummy,19.0,Europe
2021-01-05,Ireland,dummy,58.0,Europe
2021-01-05,Israel,dummy,11.0,Asia
2021-01-05,Italy,dummy,11.0,Europe
2021-01-05,Latvia,dummy,4.0,Europe
2021-01-05,Singapore,dummy,81.0,Asia
2021-01-05,Slovenia,dummy,1.0,Europe
2021-01-05,United States,dummy,196522.0,North America

14
2021-01-06,Argentina,dummy,18.0,South America
2021-01-06,Belgium,dummy,111.0,Europe
2021-01-06,Canada,dummy,448.0,North America
2021-01-06,Czechia,dummy,5.0,Europe
2021-01-06,Estonia,dummy,222.0,Europe
2021-01-06,France,dummy,42.0,Europe
2021-01-06,Ireland,dummy,74.0,Europe
2021-01-06,Israel,dummy,13.0,Asia
2021-01-06,Italy,dummy,13.0,Europe
2021-01-06,Latvia,dummy,7.0,Europe
2021-01-06,Norway,dummy,12.0,Europe
2021-01-06,Singapore,dummy,92.0,Asia
2021-01-06,Slovenia,dummy,2.0,Europe
2021-01-06,United States,dummy,371487.0,North America

14
2021-01-07,Argentina,dummy,21.0,South America
2021-01-07,Belgium,dummy,132.0,Europe
2021-01-07,Canada,dummy,1425.0,North America
2021-01-07,Czechia,dummy,5.0,Europe
2021-01-07,Estonia,dummy,256.0,Europe
2021-01-07,France,dummy,67.0,Europe
2021-01-07,Ireland,dummy,83.0,Europe
2021-01-07,Israel,dummy,22.0,Asia
2021-01-07,Italy,dummy,15.0,Europe
2021-01-07,Latvia,dummy,8.0,Europe
2021-01-07,Norway,dummy,14.0,Europe
2021-01-07,Singapore,dummy,109.0,Asia
2021-01-07,Slovenia,dummy,2.0,Europe
2021-01-07,United States,dummy,655638.0,North America

17
2021-01-08,Argentina,dummy,28.0,South America
2021-01-08,Austria,dummy,3.0,Europe
2021-01-08,Belgium,dummy,185.0,Europe
2021-01-08,Canada,dummy,2698.0,North America
2021-01-08,Czechia,dummy,6.0,Europe
2021-01-08,Denmark,dummy,7.0,Europe
2021-01-08,Estonia,dummy,316.0,Europe
2021-01-08,France,dummy,103.0,Europe
2021-01-08,Ireland,dummy,91.0,Europe
2021-01-08,Israel,dummy,27.0,Asia
2021-01-08,Italy,dummy,15.0,Europe
2021-01-08,Latvia,dummy,12.0,Europe
2021-01-08,Norway,dummy,24.0,Europe
2021-01-08,Portugal,dummy,210.0,Europe
2021-01-08,Singapore,dummy,133.0,Asia
2021-01-08,Slovenia,dummy,3.0,Europe
2021-01-08,United States,dummy,1023633.0,North America

14
2021-01-09,Argentina,dummy,30.0,South America
2021-01-09,Belgium,dummy,204.0,Europe
2021-01-09,Canada,dummy,3941.0,North America
2021-01-09,Czechia,dummy,7.0,Europe
2021-01-09,Estonia,dummy,330.0,Europe
2021-01-09,France,dummy,112.0,Europe
2021-01-09,Ireland,dummy,98.0,Europe
2021-01-09,Israel,dummy,51.0,Asia
2021-01-09,Italy,dummy,15.0,Europe
2021-01-09,Latvia,dummy,12.0,Europe
2021-01-09,Norway,dummy,26.0,Europe
2021-01-09,Singapore,dummy,139.0,Asia
2021-01-09,Slovenia,dummy,3.0,Europe
2021-01-09,United States,dummy,1153675.0,North America

20
2021-01-10,Argentina,dummy,30.0,South America
2021-01-10,Belgium,dummy,206.0,Europe
2021-01-10,Canada,dummy,3962.0,North America
2021-01-10,Czechia,dummy,9.0,Europe
2021-01-10,England,dummy,374613.0,Europe
2021-01-10,Estonia,dummy,332.0,Europe
2021-01-10,France,dummy,120.0,Europe
2021-01-10,Ireland,dummy,105.0,Europe
2021-01-10,Israel,dummy,6053.0,Asia
2021-01-10,Italy,dummy,15.0,Europe
2021-01-10,Latvia,dummy,13.0,Europe
2021-01-10,Northern Ireland,dummy,13949.0,Europe
2021-01-10,Norway,dummy,32.0,Europe
2021-01-10,Scotland,dummy,2758.0,Europe
2021-01-10,Singapore,dummy,145.0,Asia
2021-01-10,Slovenia,dummy,3.0,Europe
2021-01-10,United Arab Emirates,dummy,250000.0,Asia
2021-01-10,United Kingdom,dummy,391399.0,Europe
2021-01-10,United States,dummy,1223570.0,North America
2021-01-10,Wales,dummy,79.0,Europe

19
2021-01-11,Argentina,dummy,35.0,South America
2021-01-11,Belgium,dummy,226.0,Europe
2021-01-11,Canada,dummy,3973.0,North America
2021-01-11,Czechia,dummy,11.0,Europe
2021-01-11,England,dummy,393925.0,Europe
2021-01-11,Estonia,dummy,374.0,Europe
2021-01-11,France,dummy,159.0,Europe
2021-01-11,Ireland,dummy,113.0,Europe
2021-01-11,Israel,dummy,25317.0,Asia
2021-01-11,Italy,dummy,18.0,Europe
2021-01-11,Latvia,dummy,13.0,Europe
2021-01-11,Northern Ireland,dummy,15288.0,Europe
2021-01-11,Norway,dummy,43.0,Europe
2021-01-11,Scotland,dummy,2857.0,Europe
2021-01-11,Singapore,dummy,160.0,Asia
2021-01-11,Slovenia,dummy,3.0,Europe
2021-01-11,United Kingdom,dummy,412167.0,Europe
2021-01-11,United States,dummy,1550632.0,North America
2021-01-11,Wales,dummy,97.0,Europe

19
2021-01-12,Argentina,dummy,45.0,South America
2021-01-12,Belgium,dummy,259.0,Europe
2021-01-12,Canada,dummy,5530.0,North America
2021-01-12,Czechia,dummy,13.0,Europe
2021-01-12,England,dummy,407294.0,Europe
2021-01-12,Estonia,dummy,435.0,Europe
2021-01-12,France,dummy,190.0,Europe
2021-01-12,Ireland,dummy,128.0,Europe
2021-01-12,Israel,dummy,60991.0,Asia
2021-01-12,Italy,dummy,18.0,Europe
2021-01-12,Latvia,dummy,16.0,Europe
2021-01-12,Northern Ireland,dummy,17840.0,Europe
2021-01-12,Norway,dummy,52.0,Europe
2021-01-12,Scotland,dummy,2990.0,Europe
2021-01-12,Singapore,dummy,180.0,Asia
2021-01-12,Slovenia,dummy,3.0,Europe
2021-01-12,United Kingdom,dummy,428232.0,Europe
2021-01-12,United States,dummy,1868119.0,North America
2021-01-12,Wales,dummy,108.0,Europe

20
2021-01-13,Argentina,dummy,47.0,South America
2021-01-13,Belgium,dummy,397.0,Europe
2021-01-13,Canada,dummy,13302.0,North America
2021-01-13,Chile,dummy,1032.0,South America
2021-01-13,Czechia,dummy,14.0,Europe
2021-01-13,England,dummy,415656.0,Europe
2021-01-13,Estonia,dummy,556.0,Europe
2021-01-13,France,dummy,253.0,Europe
2021-01-13,Ireland,dummy,134.0,Europe
2021-01-13,Israel,dummy,117864.0,Asia
2021-01-13,Italy,dummy,18.0,Europe
2021-01-13,Latvia,dummy,22.0,Europe
2021-01-13,Northern Ireland,dummy,19010.0,Europe
2021-01-13,Norway,dummy,62.0,Europe
2021-01-13,Scotland,dummy,3190.0,Europe
2021-01-13,Singapore,dummy,207.0,Asia
2021-01-13,Slovenia,dummy,5.0,Europe
2021-01-13,United Kingdom,dummy,437977.0,Europe
2021-01-13,United States,dummy,2141448.0,North America
2021-01-13,Wales,dummy,121.0,Europe

20
2021-01-14,Argentina,dummy,48.0,South America
2021-01-14,Belgium,dummy,427.0,Europe
2021-01-14,Canada,dummy,16373.0,North America
2021-01-14,Chile,dummy,5829.0,South America
2021-01-14,Czechia,dummy,18.0,Europe
2021-01-14,England,dummy,420510.0,Europe
2021-01-14,Estonia,dummy,683.0,Europe
2021-01-14,France,dummy,516.0,Europe
2021-01-14,Ireland,dummy,140.0,Europe
2021-01-14,Israel,dummy,186704.0,Asia
2021-01-14,Italy,dummy,18.0,Europe
2021-01-14,Latvia,dummy,27.0,Europe
2021-01-14,Northern Ireland,dummy,19264.0,Europe
2021-01-14,Norway,dummy,72.0,Europe
2021-01-14,Scotland,dummy,3331.0,Europe
2021-01-14,Singapore,dummy,222.0,Asia
2021-01-14,Slovenia,dummy,6.0,Europe
2021-01-14,United Kingdom,dummy,443234.0,Europe
2021-01-14,United States,dummy,2279153.0,North America
2021-01-14,Wales,dummy,129.0,Europe

25
2021-01-15,Argentina,dummy,54.0,South America
2021-01-15,Austria,dummy,413.0,Europe
2021-01-15,Belgium,dummy,457.0,Europe
2021-01-15,Canada,dummy,19431.0,North America
